model_id,model_type,params,threshold,random_state,min_samples_split,criterion,max_features,max_depth,roc_auc_avg,roc_auc_std,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std
DT_paramset-9,DT,"{'random_state': 1, 'min_samples_split': 10, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 2}",0.7,1,10,gini,sqrt,2,0.428148976982,0.0779052289335,0.477988865293,0.0847958669036,0.583333333333,0.424918292799,0.0364583333333,0.0410104576771
DT_paramset-9,DT,"{'random_state': 1, 'min_samples_split': 10, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 2}",0.8,1,10,gini,sqrt,2,0.428148976982,0.0779052289335,0.477988865293,0.0847958669036,0.583333333333,0.424918292799,0.0364583333333,0.0410104576771
DT_paramset-9,DT,"{'random_state': 1, 'min_samples_split': 10, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 2}",0.9,1,10,gini,sqrt,2,0.428148976982,0.0779052289335,0.470470068301,0.0789777762836,0.666666666667,0.471404520791,0.0104166666667,0.00736569563736
DT_paramset-10,DT,"{'random_state': 1, 'min_samples_split': 2, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 2}",0.5,1,2,gini,log2,2,0.701212550237,0.141922647038,0.704394574222,0.136042397896,0.742832144299,0.155357088399,0.505952380952,0.271835127201
DT_paramset-10,DT,"{'random_state': 1, 'min_samples_split': 2, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 2}",0.6,1,2,gini,log2,2,0.701212550237,0.141922647038,0.704394574222,0.136042397896,0.742832144299,0.155357088399,0.505952380952,0.271835127201
DT_paramset-10,DT,"{'random_state': 1, 'min_samples_split': 2, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 2}",0.7,1,2,gini,log2,2,0.701212550237,0.141922647038,0.704394574222,0.136042397896,0.742832144299,0.155357088399,0.505952380952,0.271835127201
DT_paramset-10,DT,"{'random_state': 1, 'min_samples_split': 2, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 2}",0.8,1,2,gini,log2,2,0.701212550237,0.141922647038,0.591612619335,0.0974298353415,0.444586530264,0.333806677216,0.240327380952,0.245875936727
DT_paramset-10,DT,"{'random_state': 1, 'min_samples_split': 2, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 2}",0.9,1,2,gini,log2,2,0.701212550237,0.141922647038,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
DT_paramset-11,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 2}",0.5,1,5,gini,log2,2,0.701212550237,0.141922647038,0.704394574222,0.136042397896,0.742832144299,0.155357088399,0.505952380952,0.271835127201
DT_paramset-11,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 2}",0.6,1,5,gini,log2,2,0.701212550237,0.141922647038,0.704394574222,0.136042397896,0.742832144299,0.155357088399,0.505952380952,0.271835127201
DT_paramset-11,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 2}",0.7,1,5,gini,log2,2,0.701212550237,0.141922647038,0.704394574222,0.136042397896,0.742832144299,0.155357088399,0.505952380952,0.271835127201
DT_paramset-11,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 2}",0.8,1,5,gini,log2,2,0.701212550237,0.141922647038,0.591612619335,0.0974298353415,0.444586530264,0.333806677216,0.240327380952,0.245875936727
DT_paramset-11,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 2}",0.9,1,5,gini,log2,2,0.701212550237,0.141922647038,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
DT_paramset-12,DT,"{'random_state': 1, 'min_samples_split': 10, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 2}",0.5,1,10,gini,log2,2,0.701212550237,0.141922647038,0.704394574222,0.136042397896,0.742832144299,0.155357088399,0.505952380952,0.271835127201
DT_paramset-12,DT,"{'random_state': 1, 'min_samples_split': 10, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 2}",0.6,1,10,gini,log2,2,0.701212550237,0.141922647038,0.704394574222,0.136042397896,0.742832144299,0.155357088399,0.505952380952,0.271835127201
DT_paramset-12,DT,"{'random_state': 1, 'min_samples_split': 10, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 2}",0.7,1,10,gini,log2,2,0.701212550237,0.141922647038,0.704394574222,0.136042397896,0.742832144299,0.155357088399,0.505952380952,0.271835127201
DT_paramset-12,DT,"{'random_state': 1, 'min_samples_split': 10, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 2}",0.8,1,10,gini,log2,2,0.701212550237,0.141922647038,0.591612619335,0.0974298353415,0.444586530264,0.333806677216,0.240327380952,0.245875936727
DT_paramset-12,DT,"{'random_state': 1, 'min_samples_split': 10, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 2}",0.9,1,10,gini,log2,2,0.701212550237,0.141922647038,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
DT_paramset-13,DT,"{'random_state': 1, 'min_samples_split': 2, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 15}",0.5,1,2,gini,sqrt,15,0.732081117471,0.0644710198263,0.760450745184,0.0388850131094,0.747213304798,0.08183660695,0.796378968254,0.0769033196111
DT_paramset-13,DT,"{'random_state': 1, 'min_samples_split': 2, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 15}",0.6,1,2,gini,sqrt,15,0.732081117471,0.0644710198263,0.762995274446,0.0356069969286,0.751984126984,0.0756574443053,0.785796957672,0.0620020943279
DT_paramset-13,DT,"{'random_state': 1, 'min_samples_split': 2, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 15}",0.7,1,2,gini,sqrt,15,0.732081117471,0.0644710198263,0.704471101418,0.115915750757,0.709487734488,0.132661686478,0.648230820106,0.133027837303
DT_paramset-13,DT,"{'random_state': 1, 'min_samples_split': 2, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 15}",0.8,1,2,gini,sqrt,15,0.732081117471,0.0644710198263,0.696952304425,0.112296417626,0.708393043738,0.132237509371,0.627397486772,0.119683242593
DT_paramset-13,DT,"{'random_state': 1, 'min_samples_split': 2, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 15}",0.9,1,2,gini,sqrt,15,0.732081117471,0.0644710198263,0.674395913448,0.107188307304,0.742875802359,0.152737866128,0.528439153439,0.148372143455
DT_paramset-14,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 15}",0.5,1,5,gini,sqrt,15,0.701308437022,0.127833680581,0.762574374868,0.0983643503391,0.73756769069,0.113771010766,0.84837962963,0.11833889383
DT_paramset-14,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 15}",0.6,1,5,gini,sqrt,15,0.701308437022,0.127833680581,0.757485316344,0.105072275351,0.745127828147,0.103126906647,0.758432539683,0.15131976672
DT_paramset-14,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 15}",0.7,1,5,gini,sqrt,15,0.701308437022,0.127833680581,0.754902523484,0.114548677429,0.749244447518,0.11035167873,0.732060185185,0.165337177442
DT_paramset-14,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 15}",0.8,1,5,gini,sqrt,15,0.701308437022,0.127833680581,0.714802272858,0.0795531258393,0.736374434648,0.102840699625,0.643518518519,0.0621992076044
DT_paramset-14,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 15}",0.9,1,5,gini,sqrt,15,0.701308437022,0.127833680581,0.714802272858,0.0795531258393,0.736374434648,0.102840699625,0.643518518519,0.0621992076044
DT_paramset-15,DT,"{'random_state': 1, 'min_samples_split': 10, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 15}",0.5,1,10,gini,sqrt,15,0.716300605387,0.122551723559,0.75756184354,0.0928815836224,0.738575814985,0.114377570328,0.83275462963,0.103589579441
DT_paramset-15,DT,"{'random_state': 1, 'min_samples_split': 10, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 15}",0.6,1,10,gini,sqrt,15,0.716300605387,0.122551723559,0.759991582008,0.107831622166,0.757681940701,0.111617854934,0.742807539683,0.129667005885
