model_id,model_type,params,split,feature,score,rank
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",2,cyli_8,0.0591413753005,5
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",2,orig_1,0.048128589502,6
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",2,orig_3,0.0372880977999,7
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",2,acceleration,0.0350524406697,8
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",2,year_82,0.0301745157476,9
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",2,cyli_6,0.0194935886639,10
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",3,cyli_4,0.130822123635,1
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",3,weight,0.104301165849,2
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",3,displacement,0.101521724938,3
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",3,horsepower,0.0792141772742,4
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",3,cyli_8,0.0534509711234,5
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",3,orig_1,0.0411273934207,6
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",3,acceleration,0.0385454091282,7
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",3,cyli_6,0.0322780953095,8
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",3,orig_3,0.0296730835738,9
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",3,orig_2,0.0178636989941,10
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",1,displacement,0.125487949489,1
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",1,weight,0.11678567694,2
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",1,cyli_4,0.11273594103,3
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",1,horsepower,0.0956060156764,4
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",1,cyli_6,0.0376706940524,5
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",1,cyli_8,0.036415343637,6
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",1,acceleration,0.0290534002079,7
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1000, 'max_features': 'sqrt'}",1,year_73,0.0284091139116,8
