model_id,model_type,params,threshold,subsample,learning_rate,random_state,max_depth,n_estimators,roc_auc_avg,roc_auc_std,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std
GB_paramset-8,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 100}",0.6,0.5,0.001,1,1,100,0.943445826398,0.0150687157194,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-8,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 100}",0.7,0.5,0.001,1,1,100,0.943445826398,0.0150687157194,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-8,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 100}",0.8,0.5,0.001,1,1,100,0.943445826398,0.0150687157194,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-8,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 100}",0.9,0.5,0.001,1,1,100,0.943445826398,0.0150687157194,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-9,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 100}",0.5,1.0,0.001,1,1,100,0.915154256147,0.00938796664533,0.891656622472,0.0130279824946,0.864736164736,0.0251752716321,0.921130952381,0.0519449692729
GB_paramset-9,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 100}",0.6,1.0,0.001,1,1,100,0.915154256147,0.00938796664533,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-9,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 100}",0.7,1.0,0.001,1,1,100,0.915154256147,0.00938796664533,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-9,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 100}",0.8,1.0,0.001,1,1,100,0.915154256147,0.00938796664533,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-9,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 100}",0.9,1.0,0.001,1,1,100,0.915154256147,0.00938796664533,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-10,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1000}",0.5,0.1,0.001,1,1,1000,0.954592374389,0.0112548713921,0.884176089078,0.0253593276238,0.873445102857,0.0521698185289,0.894923941799,0.0664140426549
GB_paramset-10,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1000}",0.6,0.1,0.001,1,1,1000,0.954592374389,0.0112548713921,0.85387131952,0.0432218461563,0.907212885154,0.0679253659987,0.78480489418,0.110025971298
GB_paramset-10,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1000}",0.7,0.1,0.001,1,1,1000,0.954592374389,0.0112548713921,0.790678987545,0.0415060663681,0.939826839827,0.0452417198573,0.611772486772,0.124652809579
GB_paramset-10,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1000}",0.8,0.1,0.001,1,1,1000,0.954592374389,0.0112548713921,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-10,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1000}",0.9,0.1,0.001,1,1,1000,0.954592374389,0.0112548713921,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-11,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1000}",0.5,0.5,0.001,1,1,1000,0.952990948795,0.00884946785808,0.886644091144,0.0184350941305,0.852630856663,0.0276337629299,0.926421957672,0.0455757238649
GB_paramset-11,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1000}",0.6,0.5,0.001,1,1,1000,0.952990948795,0.00884946785808,0.886605827546,0.0343262329663,0.895186293251,0.0365784166642,0.868716931217,0.0829847752375
GB_paramset-11,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1000}",0.7,0.5,0.001,1,1,1000,0.952990948795,0.00884946785808,0.79815952094,0.053828648316,0.931481481481,0.0497593660835,0.637731481481,0.156650293148
GB_paramset-11,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1000}",0.8,0.5,0.001,1,1,1000,0.952990948795,0.00884946785808,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-11,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1000}",0.9,0.5,0.001,1,1,1000,0.952990948795,0.00884946785808,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
